
Jackie Joyner-Kersee
John Sasso
Enrique Camarena (DEA agent)
George H.W. Bush
Ross Johnson 
Ronald Reagan
Yasser Arafat
Gene Hackman
Donald Trump
Barbara Bush
George H.W. Bush
James Baker
Khomeini
John Tower
Eduard Shevardnadze
Kevin Costner
Pete Rose
Joseph Hazelwood
Diane Sawyer
Joseph Cicippio
George H.W. Bush
The Rolling Stones
George Washington
Arsenio Hall
George H.W. Bush
Tom Cruise
Mikhail Gorbachev
Joe Foss
Nelson Mandela
Michael Milken
Soviet Union
Germany
Richard Nixon
Dan Quayle
Andrei Sakharov
John H. Sununu
Mikhail Gorbachev
Scott Turow
Nelson Mandela
Helmut Kohl
David Souter
Saddam Hussein
Saddam Hussein
Saddam Hussein
King Fahd
David Lynch
Wynton Marsalis
Ronald Reagan
Dick Cheney
Margaret Thatcher
Bart Simpson
George H.W. Bush
Saddam Hussein
Norman Schwarzkopf
Boris Yeltsin
Nancy Reagan
Katie Koestner
Geena Davis
Saddam Hussein
John McCarthy
Boris Yeltsin
Lamar Alexander
Jodie Foster
Anita Hill
Oliver North
Terry A. Anderson
Mikhail Gorbachev
Ted Turner
Bill Clinton
Ronald Reagan
Susan Faludi
Jay Leno
Bill Clinton
Garth Brooks
Bill Clinton
Roe v. Wade
Roger Keith Coleman
Ross Perot
Sam Walton
Ross Perot
Bill Clinton
Kim Zmeskal
George H.W. Bush
Woody Allen
Hillary Clinton
Candice Bergen
George H.W. Bush
Bill Clinton
Bill Clinton
Bill Clinton
Princess Diana
Bill Clinton
Rita Collins
Bill Clinton
Zoe Baird
Bill Clinton
Bill Clinton
David Koresh
Boris Yeltsin
David Koresh
Hillary Clinton
Jack Kevorkian
Janet Reno
David Letterman
Yitzhak Rabin
Michael Durant
Eddie Vedder
Howard Stern
Billy Graham
Fidel Castro
Bob Eaton
Yitzhak Rabin
Las Vegas
Tonya Harding
Tonya Harding
Louis Farrakhan
Aldrich Ames
Hillary Rodham
Bill Clinton
Richard Nixon
Nelson Mandela
Jacqueline Kennedy
Dwight D. Eisenhower
Kim Il Sung
O.J. Simpson
Vladimir Zhirinovsky
Fidel Castro
Robert Sandifer
Jimmy Carter
Bill T. Jones
Newt Gingrich
Susan Smith
William Shatner
Newt Gingrich
John Paul II
Newt Gingrich
Rush Limbaugh
Johnnie Cochran
Fidel Castro
Nicholas Leeson
David Geffen
Shoko Asahara
The Resurrection (Noël Coypel) 
Claudia Schiffer
Vietnam
Timothy McVeigh
Ralph E. Reed, Jr.
Ramesses II
Bill Gates
Scott O'Grady
Colin Powell
Bob Dole
Colin Powell
Michael Crichton
O.J. Simpson
Dick Carver
Pat Buchanan
Yitzhak Rabin
Bob Dole
Andrew F. Hawley 
Elisa Izquierdo
Newt Gingrich
William Bratton
Steve Forbes
Magic Johnson
Marc Andreessen
Pat Buchanan
George Galatis
Princess Diana
Hillary Clinton
Norman Schwarzkopf
Ted Kaczynski
Jessica Dubroff
John F. Kennedy
Billy Graham
Benjamin Netanyahu
Hillary Clinton
Boris Yeltsin
Prince William
Michael Johnson
Bob Dole
Christopher Reeve
Dick Morris
Dick Morris
Bill Gates
Ned Johnson
Diane Keaton
Bob Dole
Bill Clinton
O.J. Simpson
David Ho
Bill Gates
Bill Cosby
O.J. Simpson
Deng Xiaoping
Marshall Applewhite
Ellen DeGeneres
Andrew Weil
Steven Spielberg
Kelly Finn 
Timothy McVeigh
Gianni Versace
Steve Jobs
George Soros
Princess Diana
Princess Diana
Steve Case
Brad Pitt
Hillary Clinton
Michael Foale
Alan Greenspan
John F. Kennedy
Bill Clinton
Kenny McCaughey
Al Gore
Princess Diana
Andrew Grove
Jerry Seinfeld
Toni Morrison
Fidel Castro
Monica Lewinsky
Kenneth Starr
Bill Clinton
Bill Clinton
