,name,year
1033,"Prince William, Duke of Cambridge",2011
1034,Prince William and Catherine Middleton,2011
1035,Osama Bin Laden,2011
1036,Osama Bin Laden,2011
1037,Rubik's cube,2011
1038,Mehmet Oz,2011
1039,Mitt Romney,2011
1040,Rupert Murdoch,2011
1041,George Washington,2011
1042,Muammar Gaddafi,2011
1043,Rick Perry,2011
1044,5 euro note,2011
1045,Dalai Lama,2011
1046,Steve Jobs,2011
1047,Bubble gum,2011
1048,Hillary Clinton,2011
1049,Recep Tayyip Erdoğan,2011
1050,Mitt Romney,2011
1051,Mitt Romney,2012
1052,Warren Buffett,2012
1053,Barack Obama,2012
1054,Lionel Messi,2012
1055,Preet Bharara,2012
1056,Mario Monti,2012
1057,Kim Jong-un,2012
1058,Vladimir Putin,2012
1059,René Redzepi,2012
1060,Nicolas Sarkozy,2012
1061,George W. Bush,2012
1062,Bo Xilai,2012
1063,Osama bin Laden,2012
1064,Bo Xilai,2012
1065,Francois Hollande,2012
1066,Lee Corso,2012
1067,Benjamin Netanyahu,2012
1068,Lenore Romney,2012
1069,Wayne Rooney,2012
1070,Anthony Kennedy,2012
1071,Leung Chun-ying,2012
1072,John Roberts,2012
1073,Palace of Westminster,2012
1074,2012 Aurora shooting,2012
1075,Curiosity rover,2012
1076,Mitt Romney,2012
1077,Barack Obama,2012
1078,Paul Kagame,2012
1079,Bill Clinton,2012
1080,Mitt Romney,2012
1081,Mitt Romney,2012
1082,Xi Jinping,2012
1083,Daniel Day-Lewis,2012
1084,Mario Balotelli,2012
1085,Barack Obama,2012
1086,David Petraeus,2012
1087,Mohamed Morsi,2012
1088,Roger Goodell,2012
1089,Barack Obama,2012
1090,Polio virus,2013
1091,Chris Christie,2013
1092,Michael Bloomberg,2013
1093,Kathryn Bigelow,2013
1094,Marco Rubio,2013
1095,Pope Benedict XVI,2013
1096,Pope Benedict XVI,2013
1097,Neymar,2013
1098,Pelé,2013
1099,Oscar Pistorius,2013
1100,Oscar Pistorius,2013
1101,Sheryl Sandberg,2013
1102,Pope Francis,2013
1103,Pope Francis,2013
1104,Christine Lagarde,2013
1105,Jennifer Lawrence,2013
1106,Angelina Jolie,2013
1107,David Cameron,2013
1108,Rahm Emanuel,2013
1109,Aaron Swartz,2013
1110,Ashin Wirathu,2013
1111,Pope Francis,2013
1112,Trayvon Martin,2013
1113,"Martin Luther King, Jr",2013
1114,Barack Obama,2013
1115,Johnny Manziel,2013
1116,Charging Bull,2013
1117,Google logo,2013
1118,Academic dress,2013
1119,Michael Bloomberg,2013
1120,Benedict Cumberbatch,2013
1121,"Charles, Prince of Wales",2013
1122,Chris Christie,2013
1123,John F. Kennedy,2013
1124,Barack Obama,2013
1125,Carl Icahn,2013
1126,Nelson Mandela,2013
1127,Pope Francis,2013
1128,Seth Meyers,2014
1129,Janet Yellen,2014
1130,Barack Obama,2014
1131,Francois Hollande,2014
1132,Enrique Peña Nieto,2014
1133,American Airlines,2014
1134,Maidan Nezalezhnosti,2014
1135,Key & Peele,2014
1136,Jon Hamm,2014
1137,Shinzo Abe,2014
1138,Beyoncé,2014
1139,Vladimir Putin,2014
1140,Marine Le Pen,2014
1141,Narendra Modi,2014
1142,Laverne Cox,2014
1143,Bowe Bergdahl,2014
1144,Vladimir Putin,2014
1145,Robin Williams,2014
1146,Chad Stover,2014
1147,Mary Barra,2014
1148,Joshua Wong Chi-fung,2014
1149,Rand Paul,2014
1150,Anne Hathaway,2014
1151,Mitch McConnell,2014
1152,Taylor Swift,2014
1153,Benedict Cumberbatch,2014
1154,Mark Zuckerberg,2014
1155,Scott Kelly,2014
1156,Kei Nishikori,2015
1157,Howard Schultz,2015
1158,George H.W. Bush,2015
1159,Hillary Clinton,2015
1160,Bradley Cooper,2015
1161,Narendra Modi,2015
1162,Elizabeth Warren,2015
1163,Barack Obama,2015
1164,George W. Bush,2015
1165,Palmer Luckey,2015
1166,Ferguson unrest,2015
1167,Donald Trump,2015
1168,Stephen Colbert,2015
1169,Bernie Sanders,2015
1170,Pope Francis,2015
1171,Daret Ezza,2015
1172,Angela Merkel,2015
1173,Adele,2015
1174,Donald Trump,2016
1175,David Bowie,2016
1176,Pegida,2016
1177,Hillary Clinton,2016
1178,Donald Trump,2016
1179,Nancy Reagan,2016
1180,Tim Cook,2016
1181,Xi Jinping,2016
1182,Ted Cruz,2016
1183,Leonardo DiCaprio,2016
1184,Aedes anopheles,2016
1185,Bernie Sanders,2016
1186,Muhammad Ali,2016
1187,CRISPR,2016
1188,Donald Trump,2016
1189,Hillary Clinton,2016
1190,Simone Biles,2016
1191,Donald Trump,2016
1192,Samantha Bee,2016
1193,Colin Kaepernick,2016
1194,Vladimir Putin,2016
1195,Donald Trump,2016
1196,Donald Trump and Billy Bush recording,2016
1197,Gretchen Carlson,2016
1198,Donald Trump,2016
1199,Donald Trump,2016
1200,Fidel Castro,2016
1201,Donald Trump,2016
1202,Donald Trump,2017
1203,Steve Bannon,2017
1204,Chuck Schumer,2017
1205,Snapchat,2017
1206,Sheryl Sandberg,2017
1207,Riz Ahmed,2017
1208,Donald Trump,2017
1209,Jared Kushner,2017
1210,Robert Mueller,2017
1211,Kit Harington,2017
1212,Donald Trump Jr.,2017
1213,Vladimir Putin,2017
1214,John F. Kelly,2017
1215,Nazi salute,2017
1216,Hillary Clinton,2017
1217,Harvey Weinstein,2017
1218,Emmanuel Macron,2017
1219,Ashley Judd,2017
0,Bill Gates,2018
1,Donald Trump,2018
2,Donald Trump,2018
3,Chadwick Boseman,2018
4,Black Panther,2018
5,Greta Gerwig,2018
6,Emma González,2018
7,Viktor Orbán,2018
