Unnamed: 0,name,year,decade
183,Elton John,1975,1970s
184,Adam Smith,1975,1970s
185,Ford family,1975,1970s
186,Gerald Ford,1975,1970s
187,Otelo Saraiva de Carvalho,1975,1970s
188,Charles O. Finley,1975,1970s
189,Yitzhak Rabin,1975,1970s
190,Lynette Alice Fromme,1975,1970s
191,Patricia Hearst,1975,1970s
192,Gerald Ford,1975,1970s
193,Maharishi Mahesh Yogi,1975,1970s
194,Abraham Beame,1975,1970s
195,Bruce Springsteen,1975,1970s
196,Juan Carlos,1975,1970s
197,Sarah Caldwell,1975,1970s
198,Donald Rumsfeld,1975,1970s
199,Ronald Reagan,1975,1970s
200,Bloomingdale's,1975,1970s
201,L. C. Greenwood,1975,1970s
202,Marisa Berenson,1975,1970s
203,J. Edgar Hoover,1975,1970s
204,Mother Teresa,1975,1970s
205,Betty Ford,1976,1970s
206,Teng Hsiao-p'ing,1976,1970s
207,Daniel Patrick Moynihan,1976,1970s
208,Dorothy Hamill,1976,1970s
209,Doonesbury,1976,1970s
210,F. Lee Bailey,1976,1970s
211,Gore Vidal,1976,1970s
212,Jimmy Carter,1976,1970s
213,Dustin Hoffman,1976,1970s
214,Howard Hughes,1976,1970s
215,Jimmy Carter,1976,1970s
216,Gerald Ford,1976,1970s
217,Paul McCartney,1976,1970s
218,Enrico Berlinguer,1976,1970s
219,Jimmy Carter,1976,1970s
220,Thomas Jefferson,1976,1970s
221,Jimmy Carter,1976,1970s
222,Nadia Comăneci,1976,1970s
223,Gerald Ford,1976,1970s
224,Mao Tse-tung,1976,1970s
225,Jimmy Carter,1976,1970s
226,Ian Smith,1976,1970s
227,Gerald Ford,1976,1970s
228,Jimmy Carter,1976,1970s
229,Jimmy Carter,1976,1970s
230,Robert Rauschenberg,1976,1970s
231,Howard Hughes,1976,1970s
232,Hamilton Jordan,1976,1970s
233,Jimmy Carter,1977,1970s
234,Super Bowl XI,1977,1970s
235,Rupert Murdoch,1977,1970s
236,Amy Carter,1977,1970s
