Unnamed: 0,name,year,decade
789,Bill Clinton,1998,1990s
790,John Travolta,1998,1990s
791,Paula Jones,1998,1990s
792,Frank Sinatra,1998,1990s
793,Jim Carrey,1998,1990s
794,Michael Jordan,1998,1990s
795,"Ken Griffey, Jr.",1998,1990s
796,Escherichia coli,1998,1990s
797,Monica Lewinsky,1998,1990s
798,John Glenn,1998,1990s
799,Bill Clinton,1998,1990s
800,The Clintons,1998,1990s
801,Boris Yeltsin,1998,1990s
802,Oprah Winfrey,1998,1990s
803,Tom Wolfe,1998,1990s
804,Newt Gingrich,1998,1990s
805,Moses,1998,1990s
806,Bill Clinton,1998,1990s
807,Kenneth Starr,1998,1990s
808,Bill Clinton,1999,1990s
809,Lauryn Hill,1999,1990s
810,Alan Greenspan,1999,1990s
811,Abdullah Öcalan,1999,1990s
812,Monica Lewinsky,1999,1990s
813,Bill Gates,1999,1990s
814,Slobodan Milosevic,1999,1990s
815,Madeleine Albright,1999,1990s
816,Ricky Martin,1999,1990s
817,George W. Bush,1999,1990s
818,Nicole Kidman,1999,1990s
819,"John F. Kennedy, Jr.",1999,1990s
820,"John F. Kennedy, Jr.",1999,1990s
821,Blair Witch,1999,1990s
822,Harry Potter,1999,1990s
823,Bill Bradley,1999,1990s
824,Steve Jobs,1999,1990s
825,Bill Gates,1999,1990s
826,Pokémon,1999,1990s
827,John McCain,1999,1990s
828,Jeff Bezos,1999,1990s
829,Albert Einstein,1999,1990s
830,Steve Case,2000,2000s
831,George W. Bush,2000,2000s
832,John McCain,2000,2000s
833,Leonardo DiCaprio,2000,2000s
834,George W. Bush,2000,2000s
835,Amadou Diallo,2000,2000s
836,Katie Couric,2000,2000s
837,Stephen King,2000,2000s
838,John Paul II,2000,2000s
839,Tiger Woods,2000,2000s
840,Joe Lieberman,2000,2000s
841,Kofi Annan,2000,2000s
842,Marion Jones,2000,2000s
843,Shawn Fanning,2000,2000s
844,George W. Bush,2000,2000s
845,George W. Bush,2000,2000s
846,George W. Bush,2000,2000s
847,George W. Bush,2000,2000s
848,George W. Bush,2000,2000s
849,George W. Bush,2000,2000s
850,John Ashcroft,2001,2000s
851,Bill Clinton,2001,2000s
852,Dale Earnhardt,2001,2000s
853,Bob Kerrey,2001,2000s
854,Timothy McVeigh,2001,2000s
855,George W. Bush,2001,2000s
856,Erik Weihenmayer,2001,2000s
857,Julia Roberts,2001,2000s
858,James Thomson,2001,2000s
859,Venus Williams,2001,2000s
860,Colin Powell,2001,2000s
861,Björk,2001,2000s
862,George W. Bush,2001,2000s
863,Osama bin Laden,2001,2000s
864,George W. Bush,2001,2000s
865,Osama bin Laden,2001,2000s
866,Osama bin Laden,2001,2000s
867,George Harrison,2001,2000s
868,Rudy Giuliani,2001,2000s
869,Steve Jobs,2002,2000s
870,Sarah Hughes,2002,2000s
871,Jamie Sale,2002,2000s
872,Bono,2002,2000s
873,Yasser Arafat,2002,2000s
874,Saddam Hussein,2002,2000s
875,Spider-Man,2002,2000s
876,George W. Bush,2002,2000s
877,Tom Cruise,2002,2000s
878,Bruce Springsteen,2002,2000s
879,Saddam Hussein,2002,2000s
880,George W. Bush,2002,2000s
881,Osama bin Laden,2002,2000s
882,Trent Lott,2002,2000s
883,Kim Jong-il,2003,2000s
884,Donald Rumsfeld,2003,2000s
885,George W. Bush,2003,2000s
886,Saddam Hussein,2003,2000s
887,Tommy Franks,2003,2000s
888,Laura J. Richardson,2003,2000s
889,Franklin D. Roosevelt,2003,2000s
890,Hillary Clinton,2003,2000s
891,Benjamin Franklin,2003,2000s
892,Howard Dean,2003,2000s
893,Arnold Schwarzenegger,2003,2000s
894,Johnny Cash,2003,2000s
895,Ronald Reagan,2003,2000s
896,Russell Crowe,2003,2000s
897,Jessica Lynch,2003,2000s
898,George W. Bush,2003,2000s
899,Person of the Year,2003,2000s
900,Howard Dean,2004,2000s
901,Ronald Reagan,2004,2000s
902,Bill Clinton,2004,2000s
903,Thomas Jefferson,2004,2000s
904,Michael Moore,2004,2000s
905,John Edwards,2004,2000s
906,John Kerry,2004,2000s
907,Michael Phelps,2004,2000s
908,George W. Bush,2004,2000s
909,George W. Bush,2004,2000s
910,George W. Bush,2004,2000s
911,George W. Bush,2004,2000s
912,John Paul II,2005,2000s
913,Ann Coulter,2005,2000s
914,Benedict XVI,2005,2000s
915,Bill Gates,2005,2000s
916,Abraham Lincoln,2005,2000s
917,Karl Rove,2005,2000s
918,Kanye West,2005,2000s
919,Steve Jobs,2005,2000s
920,Steven Spielberg,2005,2000s
921,Bill Gates,2005,2000s
922,Jack Abramoff,2006,2000s
923,Bode Miller,2006,2000s
924,Bill Ford,2006,2000s
925,Larry Page,2006,2000s
926,Dick Cheney,2006,2000s
927,Michael Hayden,2006,2000s
928,Abu Mousab al-Zarqawi,2006,2000s
929,Theodore Roosevelt,2006,2000s
930,Hillary Clinton,2006,2000s
931,Doutzen Kroes,2006,2000s
932,George W. Bush,2006,2000s
933,Benedict XVI,2006,2000s
934,George W. Bush,2006,2000s
935,Haji Bashar Noorzai,2007,2000s
936,Dick Cheney,2007,2000s
937,Ronald Reagan,2007,2000s
938,Don Imus,2007,2000s
939,Mitt Romney,2007,2000s
940,Al Gore,2007,2000s
941,Michael Bloomberg,2007,2000s
942,John F. Kennedy,2007,2000s
943,Rupert Murdoch,2007,2000s
944,Mother Teresa,2007,2000s
945,Hilary Rhoda,2007,2000s
946,David Petraeus,2007,2000s
947,John Roberts,2007,2000s
948,Hillary Clinton,2007,2000s
949,Barack Obama,2007,2000s
950,Vladimir Putin,2007,2000s
951,Benazir Bhutto,2008,2000s
952,John McCain,2008,2000s
953,Hillary Clinton,2008,2000s
954,George Clooney,2008,2000s
955,Barack Obama,2008,2000s
956,Hillary Clinton,2008,2000s
957,Dalai Lama VII,2008,2000s
958,Benedict XVI,2008,2000s
959,Ann Dunham,2008,2000s
960,Barack Obama,2008,2000s
961,Barack Obama,2008,2000s
962,Prozac,2008,2000s
963,Mark Twain,2008,2000s
964,Nelson Mandela,2008,2000s
965,LeBron James,2008,2000s
966,Barack Obama,2008,2000s
967,Rick Warren,2008,2000s
968,Barack Obama,2008,2000s
969,John McCain,2008,2000s
970,Sarah Palin,2008,2000s
971,Barack Obama,2008,2000s
972,Tom Ford,2008,2000s
973,John McCain,2008,2000s
974,Barack Obama,2008,2000s
975,Barack Obama,2008,2000s
976,Sylvia Tamburo,2008,2000s
977,Barack Obama,2008,2000s
978,Barack Obama,2008,2000s
979,Michelle Rhee,2008,2000s
980,Barack Obama,2008,2000s
981,Barack Obama,2009,2000s
982,Barack Obama,2009,2000s
983,Kate Winslet,2009,2000s
984,Arlenis Sosa,2009,2000s
985,Barack Obama,2009,2000s
986,Michelle Obama,2009,2000s
987,Sonia Sotomayor,2009,2000s
988,Mousavi,2009,2000s
989,Franklin D. Roosevelt,2009,2000s
990,Michael Jackson,2009,2000s
991,Sarah Palin,2009,2000s
992,Buzz Aldrin,2009,2000s
993,Apollo 11,2009,2000s
994,Dick Cheney,2009,2000s
995,Barack Obama,2009,2000s
996,Ted Kennedy,2009,2000s
997,Jay Leno,2009,2000s
998,Glenn Beck,2009,2000s
999,Hillary Clinton,2009,2000s
1000,Nidal Malik Hasan,2009,2000s
1001,Ben Bernanke,2009,2000s
1002,Northwest Airlines Flight 253,2010,2010s
1003,Barack Obama,2010,2010s
1004,Robert Gates,2010,2010s
1005,Taliban,2010,2010s
1006,Tom Hanks,2010,2010s
1007,Pope Benedict XVI,2010,2010s
1008,Steve Jobs,2010,2010s
1009,Barack Obama,2010,2010s
1010,Benigno Aquino III,2010,2010s
1011,Didier Drogba,2010,2010s
1012,Elizabeth Warren,2010,2010s
1013,Pope Benedict XVI,2010,2010s
1014,Thomas Edison,2010,2010s
1015,David Cameron,2010,2010s
1016,Bibi Aisha,2010,2010s
1017,Jonathan Franzen,2010,2010s
1018,Tony Blair,2010,2010s
1019,Wen Jiabao,2010,2010s
1020,Meg Whitman,2010,2010s
1021,John Boehner,2010,2010s
1022,Aung San Suu Kyi,2010,2010s
1023,Julian Assange,2010,2010s
1024,Sarah Palin,2010,2010s
1025,Mark Zuckerberg,2010,2010s
1026,Aung San Suu Kyi,2011,2010s
1027,Jared Lee Loughner,2011,2010s
1028,Barack Obama,2011,2010s
1029,Muammar Gaddafi,2011,2010s
1030,Muammar Gaddafi,2011,2010s
1031,Abraham Lincoln,2011,2010s
1032,Robert Mueller,2011,2010s
1033,"Prince William, Duke of Cambridge",2011,2010s
1034,Prince William and Catherine Middleton,2011,2010s
1035,Osama Bin Laden,2011,2010s
1036,Osama Bin Laden,2011,2010s
1037,Rubik's cube,2011,2010s
1038,Mehmet Oz,2011,2010s
1039,Mitt Romney,2011,2010s
1040,Rupert Murdoch,2011,2010s
1041,George Washington,2011,2010s
1042,Muammar Gaddafi,2011,2010s
1043,Rick Perry,2011,2010s
1044,5 euro note,2011,2010s
1045,Dalai Lama,2011,2010s
1046,Steve Jobs,2011,2010s
1047,Bubble gum,2011,2010s
1048,Hillary Clinton,2011,2010s
1049,Recep Tayyip Erdoğan,2011,2010s
1050,Mitt Romney,2011,2010s
1051,Mitt Romney,2012,2010s
1052,Warren Buffett,2012,2010s
1053,Barack Obama,2012,2010s
1054,Lionel Messi,2012,2010s
1055,Preet Bharara,2012,2010s
1056,Mario Monti,2012,2010s
1057,Kim Jong-un,2012,2010s
1058,Vladimir Putin,2012,2010s
1059,René Redzepi,2012,2010s
1060,Nicolas Sarkozy,2012,2010s
1061,George W. Bush,2012,2010s
1062,Bo Xilai,2012,2010s
1063,Osama bin Laden,2012,2010s
1064,Bo Xilai,2012,2010s
1065,Francois Hollande,2012,2010s
1066,Lee Corso,2012,2010s
1067,Benjamin Netanyahu,2012,2010s
1068,Lenore Romney,2012,2010s
1069,Wayne Rooney,2012,2010s
1070,Anthony Kennedy,2012,2010s
1071,Leung Chun-ying,2012,2010s
1072,John Roberts,2012,2010s
1073,Palace of Westminster,2012,2010s
1074,2012 Aurora shooting,2012,2010s
1075,Curiosity rover,2012,2010s
1076,Mitt Romney,2012,2010s
1077,Barack Obama,2012,2010s
1078,Paul Kagame,2012,2010s
1079,Bill Clinton,2012,2010s
1080,Mitt Romney,2012,2010s
1081,Mitt Romney,2012,2010s
1082,Xi Jinping,2012,2010s
1083,Daniel Day-Lewis,2012,2010s
1084,Mario Balotelli,2012,2010s
1085,Barack Obama,2012,2010s
1086,David Petraeus,2012,2010s
1087,Mohamed Morsi,2012,2010s
1088,Roger Goodell,2012,2010s
1089,Barack Obama,2012,2010s
1090,Polio virus,2013,2010s
1091,Chris Christie,2013,2010s
1092,Michael Bloomberg,2013,2010s
1093,Kathryn Bigelow,2013,2010s
1094,Marco Rubio,2013,2010s
1095,Pope Benedict XVI,2013,2010s
1096,Pope Benedict XVI,2013,2010s
1097,Neymar,2013,2010s
1098,Pelé,2013,2010s
1099,Oscar Pistorius,2013,2010s
1100,Oscar Pistorius,2013,2010s
1101,Sheryl Sandberg,2013,2010s
1102,Pope Francis,2013,2010s
1103,Pope Francis,2013,2010s
1104,Christine Lagarde,2013,2010s
1105,Jennifer Lawrence,2013,2010s
1106,Angelina Jolie,2013,2010s
1107,David Cameron,2013,2010s
1108,Rahm Emanuel,2013,2010s
1109,Aaron Swartz,2013,2010s
1110,Ashin Wirathu,2013,2010s
1111,Pope Francis,2013,2010s
1112,Trayvon Martin,2013,2010s
1113,"Martin Luther King, Jr",2013,2010s
1114,Barack Obama,2013,2010s
1115,Johnny Manziel,2013,2010s
1116,Charging Bull,2013,2010s
1117,Google logo,2013,2010s
1118,Academic dress,2013,2010s
1119,Michael Bloomberg,2013,2010s
1120,Benedict Cumberbatch,2013,2010s
1121,"Charles, Prince of Wales",2013,2010s
1122,Chris Christie,2013,2010s
1123,John F. Kennedy,2013,2010s
1124,Barack Obama,2013,2010s
1125,Carl Icahn,2013,2010s
1126,Nelson Mandela,2013,2010s
1127,Pope Francis,2013,2010s
1128,Seth Meyers,2014,2010s
1129,Janet Yellen,2014,2010s
1130,Barack Obama,2014,2010s
1131,Francois Hollande,2014,2010s
1132,Enrique Peña Nieto,2014,2010s
1133,American Airlines,2014,2010s
1134,Maidan Nezalezhnosti,2014,2010s
1135,Key & Peele,2014,2010s
1136,Jon Hamm,2014,2010s
1137,Shinzo Abe,2014,2010s
1138,Beyoncé,2014,2010s
1139,Vladimir Putin,2014,2010s
1140,Marine Le Pen,2014,2010s
1141,Narendra Modi,2014,2010s
1142,Laverne Cox,2014,2010s
1143,Bowe Bergdahl,2014,2010s
1144,Vladimir Putin,2014,2010s
1145,Robin Williams,2014,2010s
1146,Chad Stover,2014,2010s
1147,Mary Barra,2014,2010s
1148,Joshua Wong Chi-fung,2014,2010s
1149,Rand Paul,2014,2010s
1150,Anne Hathaway,2014,2010s
1151,Mitch McConnell,2014,2010s
1152,Taylor Swift,2014,2010s
1153,Benedict Cumberbatch,2014,2010s
1154,Mark Zuckerberg,2014,2010s
1155,Scott Kelly,2014,2010s
1156,Kei Nishikori,2015,2010s
1157,Howard Schultz,2015,2010s
1158,George H.W. Bush,2015,2010s
1159,Hillary Clinton,2015,2010s
1160,Bradley Cooper,2015,2010s
1161,Narendra Modi,2015,2010s
1162,Elizabeth Warren,2015,2010s
1163,Barack Obama,2015,2010s
1164,George W. Bush,2015,2010s
1165,Palmer Luckey,2015,2010s
1166,Ferguson unrest,2015,2010s
1167,Donald Trump,2015,2010s
1168,Stephen Colbert,2015,2010s
1169,Bernie Sanders,2015,2010s
1170,Pope Francis,2015,2010s
1171,Daret Ezza,2015,2010s
1172,Angela Merkel,2015,2010s
1173,Adele,2015,2010s
1174,Donald Trump,2016,2010s
1175,David Bowie,2016,2010s
1176,Pegida,2016,2010s
1177,Hillary Clinton,2016,2010s
1178,Donald Trump,2016,2010s
1179,Nancy Reagan,2016,2010s
1180,Tim Cook,2016,2010s
1181,Xi Jinping,2016,2010s
1182,Ted Cruz,2016,2010s
1183,Leonardo DiCaprio,2016,2010s
1184,Aedes anopheles,2016,2010s
1185,Bernie Sanders,2016,2010s
1186,Muhammad Ali,2016,2010s
1187,CRISPR,2016,2010s
1188,Donald Trump,2016,2010s
1189,Hillary Clinton,2016,2010s
1190,Simone Biles,2016,2010s
1191,Donald Trump,2016,2010s
1192,Samantha Bee,2016,2010s
1193,Colin Kaepernick,2016,2010s
1194,Vladimir Putin,2016,2010s
1195,Donald Trump,2016,2010s
1196,Donald Trump and Billy Bush recording,2016,2010s
1197,Gretchen Carlson,2016,2010s
1198,Donald Trump,2016,2010s
1199,Donald Trump,2016,2010s
1200,Fidel Castro,2016,2010s
1201,Donald Trump,2016,2010s
1202,Donald Trump,2017,2010s
1203,Steve Bannon,2017,2010s
1204,Chuck Schumer,2017,2010s
1205,Snapchat,2017,2010s
1206,Sheryl Sandberg,2017,2010s
1207,Riz Ahmed,2017,2010s
1208,Donald Trump,2017,2010s
1209,Jared Kushner,2017,2010s
1210,Robert Mueller,2017,2010s
1211,Kit Harington,2017,2010s
1212,Donald Trump Jr.,2017,2010s
1213,Vladimir Putin,2017,2010s
1214,John F. Kelly,2017,2010s
1215,Nazi salute,2017,2010s
1216,Hillary Clinton,2017,2010s
1217,Harvey Weinstein,2017,2010s
1218,Emmanuel Macron,2017,2010s
1219,Ashley Judd,2017,2010s
0,Bill Gates,2018,2010s
1,Donald Trump,2018,2010s
2,Donald Trump,2018,2010s
3,Chadwick Boseman,2018,2010s
4,Black Panther,2018,2010s
5,Greta Gerwig,2018,2010s
6,Emma González,2018,2010s
7,Viktor Orbán,2018,2010s
